,Time,AI.csv,wsbp.csv,wsrh.csv,wsth.csv
67,2/2/2021 14:02:15,30.63817978,991.5341187000001,77.37856293,-21.10967064
68,2/2/2021 15:02:15,26.0,991.1567992999999,71.92337799,-21.74164009
69,2/2/2021 16:02:15,18.76897049,990.9567870999999,71.35428619,-22.68328094
70,2/2/2021 17:02:15,30.15872955,990.7567749,72.40363312,-22.13619041
71,2/2/2021 18:02:15,27.60149956,990.5568237,67.50428772,-22.69639969
72,2/2/2021 19:02:15,16.10746002,990.5178832999999,66.17179871,-22.53235054
73,2/2/2021 20:02:15,24.98162079,990.5429077,68.45780945,-23.85654068
74,2/2/2021 21:02:15,30.0,990.5678711000002,69.14600372,-23.98130989
75,2/2/2021 22:02:15,26.83783913,990.5928955,72.37400055,-24.06962013
76,2/2/2021 23:02:15,20.47221947,990.4926147,73.84999847,-23.52227974
77,2/3/2021 0:02:15,27.42188072,990.3425902999999,66.05930328,-24.82364082
78,2/3/2021 1:02:15,29.81818008,990.1926269999999,67.28394318,-25.50823975
79,2/3/2021 2:02:15,23.28572083,990.0426025,64.78199768,-24.92989922
80,2/3/2021 3:02:15,24.98794937,990.1201172,67.91500092,-24.85490036
81,2/3/2021 4:02:15,31.52703094,990.2520752,70.76283264,-24.82076073
82,2/3/2021 5:02:15,29.90496063,990.3521117999999,73.24506378,-25.66680908
83,2/3/2021 6:02:15,18.57143021,990.4520874,66.70500183,-24.75686073
84,2/3/2021 7:02:15,28.97826004,990.552124,74.04399872,-25.82274055
85,2/3/2021 8:02:15,26.64999962,990.6912231000001,76.45025635,-25.9530201
86,2/3/2021 9:02:15,23.54545021,990.8662108999999,75.93199921,-25.76280022
87,2/3/2021 10:02:15,15.0,991.0411987,79.60572052,-24.56257057
88,2/3/2021 11:02:15,28.98749924,991.2161865,78.96946716,-24.48822021
89,2/3/2021 12:02:15,27.78722954,991.265625,74.57333374,-24.41082001
90,2/3/2021 13:02:15,17.0,991.2003784,71.75166321,-23.40146065
91,2/3/2021 14:02:15,28.0,991.425415,66.31722260000001,-23.62352943
92,2/3/2021 15:02:15,28.85753059,991.6505127,70.01799774,-24.43903923
93,2/3/2021 16:02:15,24.0,991.8754272,65.60500336,-24.62495041
94,2/3/2021 17:02:15,17.78710938,992.1010742000001,62.45999908,-23.42930984
95,2/3/2021 18:02:15,21.04619026,992.6760864,58.49166107,-23.18889046
96,2/3/2021 19:02:15,20.17519951,993.2510986,62.57723999,-24.12290955
97,2/3/2021 20:02:15,16.97777939,993.8261107999999,60.86521912,-24.36272049
98,2/3/2021 21:02:15,26.0,994.3997191999999,65.30000305,-23.44400024
99,2/3/2021 22:02:15,27.68181992,994.199585,63.61571884,-24.57920074
100,2/3/2021 23:02:15,16.73670006,993.9995728,69.88427734,-23.97335052
101,2/4/2021 0:02:15,27.0,993.7996216,70.81580353,-24.63890076
102,2/4/2021 1:02:15,27.0,993.5996704,73.34763336,-23.06669998
103,2/4/2021 2:02:15,27.0,993.449707,64.18714142,-21.90714073
104,2/4/2021 3:02:15,19.14414024,993.2996826,75.10800934,-23.45541
105,2/4/2021 4:02:15,25.72444916,993.1497191999999,90.51856995,-21.98428917
106,2/4/2021 5:02:15,24.0,992.9992064999999,86.4016571,-21.09169006
107,2/4/2021 6:02:15,16.69985008,992.5991821,100.11000059999999,-23.06999969
108,2/4/2021 7:02:15,27.0,992.1992187999999,76.47599792,-19.76199913
109,2/4/2021 8:02:15,29.86566925,991.7993163999998,86.16861725,-21.19813919
110,2/4/2021 9:02:15,23.56139946,991.3991699,77.60666656,-20.42292023
111,2/4/2021 10:02:15,23.22123909,990.9993286,84.98342133,-22.12746048
112,2/4/2021 11:02:15,25.0,990.5991821,85.55937195,-20.30138016
113,2/4/2021 12:02:15,25.0,990.1992187999999,79.55667114,-19.00167084
114,2/4/2021 13:02:15,15.39527035,989.7993774,75.55666351,-19.47880936
115,2/4/2021 14:02:15,27.78799057,989.4744263,66.63619232,-21.20890999
116,2/4/2021 15:02:15,28.0,989.1494141000001,69.46798706,-21.77643013
117,2/4/2021 16:02:15,21.398670199999998,988.8245239,71.41200256,-21.22599983
118,2/4/2021 17:02:15,23.31915092,988.5007935000001,61.85334015,-18.31946945
119,2/4/2021 18:02:15,20.91743088,988.8588867000001,65.81916809,-19.137199399999997
120,2/4/2021 19:02:15,27.96295929,989.2171020999999,75.97165679999999,-20.35780907
121,2/4/2021 20:02:15,18.0,989.1469116000001,81.48001099,-18.89763069
122,2/4/2021 21:02:15,28.0,988.9468993999999,70.3833313,-18.44792938
123,2/4/2021 22:02:15,28.0,988.7468872000002,70.1131134,-18.77712059
124,2/4/2021 23:02:15,21.0,988.546875,75.99501038,-20.47159004
125,2/5/2021 0:02:15,27.10865974,988.1950072999999,65.39499664,-19.82272911
126,2/5/2021 1:02:15,28.26316071,987.7965697999999,67.32666779,-19.25345993
127,2/5/2021 2:02:15,24.51972008,987.3983153999999,65.61881256,-18.72485924
128,2/5/2021 3:02:15,18.0,987.2249145999999,70.05500031,-17.68561935
129,2/5/2021 4:02:15,25.20000076,987.1248778999999,68.38667297,-16.97997093
130,2/5/2021 5:02:15,25.33333015,987.0250243999999,79.08399963,-17.61601067
131,2/5/2021 6:02:15,16.27272987,986.9249877999998,74.27999878,-18.7700901
132,2/5/2021 7:02:15,26.15151978,987.1439819,77.8971405,-18.18848991
133,2/5/2021 8:02:15,28.71427917,987.4688721000001,85.73799896,-17.77799988
134,2/5/2021 9:02:15,21.4591198,987.7938843000001,76.34400177,-15.85077
135,2/5/2021 10:02:15,30.0,988.1190186000001,76.54165649,-18.44094086
136,2/5/2021 11:02:15,30.95833015,988.4251708999999,77.09422302,-15.9572897
137,2/5/2021 12:02:15,27.0,988.7252197,73.71431732,-17.00322914
138,2/5/2021 13:02:15,29.59042931,989.0252075,67.66799927,-16.60240936
139,2/5/2021 14:02:15,28.45277023,989.3251953,80.01000214,-14.91619015
140,2/5/2021 15:02:15,26.40517044,989.8128052000001,67.59999847,-13.26348972
141,2/5/2021 16:02:15,18.0,990.362793,59.48833847,-12.01665974
142,2/5/2021 17:02:15,31.62264061,990.9127808000001,65.38392639,-11.94987965
