Timestamp [Local],Value
2/6/2021 9:02:15,24.24539948
2/6/2021 10:02:15,27
2/6/2021 11:02:15,31.48711967
2/6/2021 12:02:15,26.50588036
2/6/2021 13:02:15,34.92308044
2/6/2021 14:02:15,30.84210968
2/6/2021 15:02:15,29.77395058
2/6/2021 16:02:15,23.77358055
2/6/2021 17:02:15,22.14814949
2/6/2021 18:02:15,21.91227913
2/6/2021 19:02:15,15
2/6/2021 20:02:15,21.67910004
2/6/2021 21:02:15,22
2/6/2021 22:02:15,17.42671967
2/6/2021 23:02:15,19.91044998
2/7/2021 0:02:15,22
2/7/2021 1:02:15,19.11494064
2/7/2021 2:02:15,21.86046982
2/7/2021 3:02:15,41.5521698
2/7/2021 4:02:15,27.00934982
2/7/2021 5:02:15,35
2/7/2021 6:02:15,33
2/7/2021 7:02:15,32.44443893
2/7/2021 8:02:15,41.09999847
2/7/2021 9:02:15,43
2/7/2021 10:02:15,38
2/7/2021 11:02:15,39
2/7/2021 12:02:15,39
2/7/2021 13:02:15,33.75194168
2/7/2021 14:02:15,34.98630142
2/7/2021 15:02:15,38
2/7/2021 16:02:15,38
2/7/2021 17:02:15,31
2/7/2021 18:02:15,37
2/7/2021 19:02:15,37.39556885
2/7/2021 20:02:15,35.03480911
2/7/2021 21:02:15,33.56872177
2/7/2021 22:02:15,35.91891861
2/7/2021 23:02:15,37
2/8/2021 0:02:15,30
2/8/2021 1:02:15,37.04615021
2/8/2021 2:02:15,38
2/8/2021 3:02:15,29.15596008
2/8/2021 4:02:15,37.21327972
2/8/2021 5:02:15,33.69739914
2/8/2021 6:02:15,28.27026939
2/8/2021 7:02:15,38
2/8/2021 8:02:15,42.77592087
2/8/2021 9:02:15,37.32109833
2/8/2021 10:02:15,40.65185165
2/8/2021 11:02:15,44.25817108
2/8/2021 12:02:15,41.24000168
2/8/2021 13:02:15,40.14353943
2/8/2021 14:02:15,42.72404099
2/8/2021 15:02:15,39.29629898
2/8/2021 16:02:15,38.28141022
2/8/2021 17:02:15,41.84643173
2/8/2021 18:02:15,39
2/8/2021 19:02:15,34
2/8/2021 20:02:15,41
2/8/2021 21:02:15,38.45426178
2/8/2021 22:02:15,42
2/8/2021 23:02:15,41
2/9/2021 0:02:15,42.5760994
2/9/2021 1:02:15,32.02613831
2/9/2021 2:02:15,38.95402145
2/9/2021 3:02:15,38.96894073
2/9/2021 4:02:15,34
2/9/2021 5:02:15,40
2/9/2021 6:02:15,37.34259033
2/9/2021 7:02:15,31.89949036
2/9/2021 8:02:15,42.70158005
2/9/2021 9:02:15,42.07260132
2/9/2021 10:02:15,33.70053101
2/9/2021 11:02:15,42
2/9/2021 12:02:15,44.40682983
2/9/2021 13:02:15,35
2/9/2021 14:02:15,38.21023941
2/9/2021 15:02:15,43
2/9/2021 16:02:15,35.08332825
2/9/2021 17:02:15,37.19631958
2/9/2021 18:02:15,43
2/9/2021 19:02:15,44
2/9/2021 20:02:15,38.32183838
2/9/2021 21:02:15,42.16711044
2/9/2021 22:02:15,45
2/9/2021 23:02:15,42.94355011
2/10/2021 0:02:15,39.34286118
2/10/2021 1:02:15,45.69857025
2/10/2021 2:02:15,45
2/10/2021 3:02:15,36
2/10/2021 4:02:15,43
2/10/2021 5:02:15,42.35663986
2/10/2021 6:02:15,36.58969879
2/10/2021 7:02:15,46.86309052
2/10/2021 8:02:15,43
2/10/2021 9:02:15,35.17699051
2/10/2021 10:02:15,41.60395813
2/10/2021 11:02:15,46
2/10/2021 12:02:15,40
2/10/2021 13:02:15,44.33332825
2/10/2021 14:02:15,49
2/10/2021 15:02:15,48.65475845
2/10/2021 16:02:15,42
2/10/2021 17:02:15,48.33491135
2/10/2021 18:02:15,48
2/10/2021 19:02:15,39.89097977
2/10/2021 20:02:15,43.795681
2/10/2021 21:02:15,47
2/10/2021 22:02:15,45
2/10/2021 23:02:15,42.8125
2/11/2021 0:02:15,49
2/11/2021 1:02:15,49
2/11/2021 2:02:15,42
2/11/2021 3:02:15,37
2/11/2021 4:02:15,51
2/11/2021 5:02:15,51
2/11/2021 6:02:15,51.21052933
2/11/2021 7:02:15,44
2/11/2021 8:02:15,53.89925003
2/11/2021 9:02:15,58
2/11/2021 10:02:15,58.46789169
2/11/2021 11:02:15,51.51261902
2/11/2021 12:02:15,55.65454102
2/11/2021 13:02:15,58.36054993
2/11/2021 14:02:15,49
2/11/2021 15:02:15,52
2/11/2021 16:02:15,50.06893158
2/11/2021 17:02:15,47.28570938
2/11/2021 18:02:15,43.97589874
2/11/2021 19:02:15,52
2/11/2021 20:02:15,52
2/11/2021 21:02:15,52
2/11/2021 22:02:15,49.01834869
2/11/2021 23:02:15,53.10976028
2/12/2021 0:02:15,55
2/12/2021 1:02:15,46.27558899
2/12/2021 2:02:15,50
2/12/2021 3:02:15,50.56389999
2/12/2021 4:02:15,44.54545975
2/12/2021 5:02:15,44.67103958
2/12/2021 6:02:15,47.74279022
2/12/2021 7:02:15,46.21276093
2/12/2021 8:02:15,42
2/12/2021 9:02:15,47.6131897
2/12/2021 10:02:15,51.63064957
2/12/2021 11:02:15,43.2439003
2/12/2021 12:02:15,47.47935867
2/12/2021 13:02:15,50
2/12/2021 14:02:15,48.46797943
2/12/2021 15:02:15,50
2/12/2021 16:02:15,56.64062881
2/12/2021 17:02:15,56.44078827
2/12/2021 18:02:15,39
2/12/2021 19:02:15,35
2/12/2021 20:02:15,35.33449936
2/12/2021 21:02:15,45
2/12/2021 22:02:15,54.87850952
2/12/2021 23:02:15,52.36050034
2/13/2021 0:02:15,50.40182114
2/13/2021 1:02:15,50.51964951
2/13/2021 2:02:15,48.28348923
2/13/2021 3:02:15,49.93772125
2/13/2021 4:02:15,50.64799881
2/13/2021 5:02:15,44
2/13/2021 6:02:15,50.20598984
2/13/2021 7:02:15,48.92856979
2/13/2021 8:02:15,48.1308403
