wsbp.csv,wsrh.csv,wsth.csv,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
1008.1430050000001,78.58000183,6.950754166,0,0,0,0,0,0,0,0,0,1,0,0
991.2817992999999,77.17162323,3.105015039,0,0,0,0,0,0,0,0,0,0,1,0
999.7490233999999,94.20910645,14.29026031,0,0,0,0,0,0,0,1,0,0,0,0
1008.237976,73.67780304,15.075969699999998,0,0,0,0,0,0,0,1,0,0,0,0
993.8176269999999,70.90670013,4.782551765,0,0,0,0,1,0,0,0,0,0,0,0
988.8748778999999,74.22000122,-8.581913948,0,1,0,0,0,0,0,0,0,0,0,0
1008.002014,64.90036774,-14.95121002,1,0,0,0,0,0,0,0,0,0,0,0
1002.382996,77.51473236,-0.987152576,0,0,0,0,0,0,0,0,0,0,1,0
999.7061767999999,103.5904007,15.92171001,0,0,0,0,0,0,1,0,0,0,0,0
1005.796997,57.24470901,21.44934082,0,0,0,0,0,0,1,0,0,0,0,0
986.4733276000001,96.71587372,1.7054779530000002,0,0,0,0,0,0,0,0,0,1,0,0
1009.817017,72.81809998,12.8645401,0,0,0,0,0,0,1,0,0,0,0,0
1001.817017,102.7858963,-0.8546609279999999,0,0,1,0,0,0,0,0,0,0,0,0
1002.8061764748414,80.9136469037879,1.9754037472610808,0,0,0,0,0,0,0,0,0,0,0,1
994.2551269999999,97.2182312,-2.8466510769999998,1,0,0,0,0,0,0,0,0,0,0,0
983.4738769999999,103.0623016,-0.490120202,0,0,0,1,0,0,0,0,0,0,0,0
998.2999877999998,72.50428772,-15.11285019,0,0,0,0,0,0,0,0,0,0,0,1
1009.6069949999999,90.22332764,-6.226767063,1,0,0,0,0,0,0,0,0,0,0,0
995.1116943,84.66333008,-15.16088963,0,1,0,0,0,0,0,0,0,0,0,0
989.8967285,75.61076355,-5.734885216,0,0,0,0,0,0,0,0,0,0,0,1
1007.9439699999999,95.81401825,-5.970757961,1,0,0,0,0,0,0,0,0,0,0,0
991.1787720000001,88.25375366,-3.304778099,0,1,0,0,0,0,0,0,0,0,0,0
1003.804993,95.21943665,-7.1102647779999995,1,0,0,0,0,0,0,0,0,0,0,0
1002.8061764748414,80.9136469037879,1.9754037472610808,0,0,0,0,0,0,0,0,0,0,0,1
1003.419983,108.7220993,5.128255844,0,0,0,0,0,0,0,0,0,0,1,0
1002.8061764748414,80.9136469037879,1.9754037472610808,0,0,0,0,1,0,0,0,0,0,0,0
1004.2180179999999,54.47822952,10.81674004,0,0,0,0,0,0,0,0,0,1,0,0
1002.215027,91.97107697,-0.907262027,0,0,0,0,1,0,0,0,0,0,0,0
1000.875,100.73069759999998,1.9845290180000001,0,0,0,0,1,0,0,0,0,0,0,0
1011.528015,64.69397736,12.89054012,0,0,0,0,0,1,0,0,0,0,0,0
1003.5599980000001,44.66781998,14.449919699999999,0,0,0,0,0,1,0,0,0,0,0,0
1005.22699,47.57294846,-10.45477009,0,0,1,0,0,0,0,0,0,0,0,0
1011.622986,76.63627625,12.63607025,0,0,0,0,0,0,0,0,1,0,0,0
988.6669922,90.59030914,9.113365173,0,0,0,0,0,0,0,0,0,1,0,0
1009.961975,81.75919342,13.28055954,0,0,0,0,0,0,0,0,1,0,0,0
998.1469116000001,95.71974945,-4.722942829,1,0,0,0,0,0,0,0,0,0,0,0
990.3137207000001,81.50353241,3.216747999,0,0,0,0,1,0,0,0,0,0,0,0
1001.7329710000001,102.5987015,0.5943049189999999,0,0,0,0,1,0,0,0,0,0,0,0
994.8488769999999,63.94504929,5.170597076,0,0,0,0,1,0,0,0,0,0,0,0
987.4675292999999,83.95043945,-3.497601032,0,1,0,0,0,0,0,0,0,0,0,0
1008.01001,66.65869904,7.476998806,0,0,0,0,0,0,0,0,0,1,0,0
1008.586975,78.40428925,-12.83339977,1,0,0,0,0,0,0,0,0,0,0,0
1001.879028,87.00305176,15.56303978,0,0,0,0,0,0,0,0,1,0,0,0
1008.067993,89.12341309,-6.512784003999999,1,0,0,0,0,0,0,0,0,0,0,0
1001.7819820000001,74.54842377,-1.015836,0,0,1,0,0,0,0,0,0,0,0,0
1013.708984,65.87915039,-15.22541046,0,0,1,0,0,0,0,0,0,0,0,0
1010.926025,83.37167358,11.61063004,0,0,0,0,0,0,0,0,1,0,0,0
1015.7819820000001,100.6679001,-3.398192883,0,0,0,1,0,0,0,0,0,0,0,0
998.4844971000001,41.02341843,3.577452898,0,0,1,0,0,0,0,0,0,0,0,0
989.5499267999999,77.77649689,-8.36846447,0,1,0,0,0,0,0,0,0,0,0,0
994.4942017000001,91.87613678,1.703876019,0,0,0,0,1,0,0,0,0,0,0,0
1004.965027,85.04321289,15.57610035,0,0,0,0,0,0,0,0,1,0,0,0
1015.8120119999999,94.5358429,13.36569977,0,0,0,0,0,0,0,0,1,0,0,0
1001.539001,57.96179962,7.558847903999999,0,0,0,0,0,0,0,0,0,1,0,0
1009.723022,88.66355133,3.8925890919999997,0,0,0,0,0,0,0,0,0,0,1,0
1008.913025,97.42397308,17.32195091,0,0,0,0,0,0,0,1,0,0,0,0
1003.120972,82.99291229,19.96994019,0,0,0,0,0,0,0,1,0,0,0,0
990.5678711000002,69.14600372,-23.98130989,0,1,0,0,0,0,0,0,0,0,0,0
1014.346008,73.99294281,-1.217131019,0,0,0,0,0,0,0,0,0,0,1,0
991.8947143999999,98.16587829999999,-4.396204948,0,1,0,0,0,0,0,0,0,0,0,0
